type,buy,sell,update
PNJ,63.100,62.000,02/01/2024 08:08:38
PNJ,63.000,61.900,02/01/2024 08:36:02
PNJ,63.000,61.900,02/01/2024 09:05:31
PNJ,63.000,61.900,02/01/2024 09:31:52
PNJ,63.000,61.900,02/01/2024 10:26:39
PNJ,63.000,61.900,02/01/2024 10:50:41
PNJ,63.100,61.200,02/01/2024 13:13:49
PNJ,63.100,61.200,02/01/2024 14:16:44
PNJ,63.100,61.200,02/01/2024 14:20:30
PNJ,63.100,62.000,02/01/2024 14:22:10
PNJ,63.100,62.100,02/01/2024 14:45:49
PNJ,63.250,62.150,02/01/2024 16:20:53
SJC,74.100,71.200,02/01/2024 08:08:38
SJC,73.500,70.600,02/01/2024 08:36:02
SJC,74.100,71.000,02/01/2024 09:05:31
SJC,74.600,71.600,02/01/2024 09:31:52
SJC,75.100,72.100,02/01/2024 10:26:39
SJC,76.100,73.100,02/01/2024 10:50:41
SJC,76.500,73.600,02/01/2024 13:13:49
SJC,76.100,73.100,02/01/2024 14:16:44
SJC,76.100,73.100,02/01/2024 14:20:30
SJC,76.100,73.100,02/01/2024 14:22:10
SJC,76.000,73.000,02/01/2024 14:45:49
SJC,75.500,72.500,02/01/2024 16:20:53
